ID	LABEL	Type	contributor	example of usage	definition	editor note	term editor	alternative label	definition source	term tracker item	ontology term requester	comment	
EUPATH:0000738	information on process	Class			An information content entity is about a process.								
EUPATH:0000740	malaria treatment	Class			A treatment to alleviate the signs and symptoms associated with malaria.								
EUPATH:0000745	time to onset	Class			"A time measurement datum of duration of an individual acquires, develops, or first experiences a condition or symptoms of a disease or disorder."								
EUPATH:0000747	date of DNA extraction	Class			A time measurement datum that specifies when the DNA was extracted								
EUPATH:0000748	iPCR datum	Class			The measurement datum generated by Inverse polymerase chain reaction (Inverse PCR).								
EUPATH:0000749	duration of observation period	Class			A time measurement datum of duration of the observation at the end of an observation period.								
EUPATH:0000750	time to first malaria diagnosis	Class			A time measurement datum of a person first diagnosed as malaria								
EUPATH:0000751	time to reinfection	Class			A time measurement datum of the duration for reinfection.								
EUPATH:0000752	gp60 genotype	Class			A genotype information about 60 kDa glycoprotein (gp60) gene.								
EUPATH:0000753	specimen collection time in year	Class			A specimen collection time measurement datum in year.								
EUPATH:0000754	information on blood smear result	Class			An information content entity of multiple blood smear results during an observation period.								
EUPATH:0000755	variable	Annotation property		"In a data file, there is a column with name 'age'. It mapped to EuPath ontology term 'age at visit'. We can add 'implements variable' annotation with value 'age' to term 'age at visit'."	"Column header for each variable from the original datasets (use format from datasets, not data dictionary)."			column header					
EUPATH:0000757	parasite phenotype	Class			A quality inheres in parasite organism.								
EUPATH:0000758	fungal organism genotype information	Class			A genotype information of fungus.								
EUPATH:0000759	fungal strain	Class			"A Fungus that is bred to have some uniform behavioral, morphological, physiological, or genetic characteristics with similarly bred Fungus"								
EUPATH:0000761	parasite strain	Class			"A parasite that is bred to have some uniform behavioral, morphological, physiological, or genetic characteristics with similarly bred parasite organisms"								
EUPATH:0000762	presence of organism in specimen	Class			A data item that indicates whether some organism is present in a specimen.	"""Present"" in this definition means 'located in' or 'part of' the specimen."							
EUPATH:0000763	World Health Organization core health indicator subdomain	Class			"An information content entity that is about some quality, risk, or access to health care that inheres in a human being and is deemed clinically significant by the World Health Organization, which uses this entity to categorize each of their individual core health indicators, based on the type of quality, risk, or access."		Person: John Judkins		WHO 2018 Global Reference List of 100 Core Health Indicators				
EUPATH:0000776	household repeated measure	Class			An information content entity that is about data collected at the household level on multiple occasions.								
EUPATH:0000787	groin lesion score	Class			Skin symptom or sign information that is about a lesion on the groin of a patient and specifies the extent of damage to the tissue.				VEuPathDB				
EUPATH:0000788	axillary lesion score	Class			Skin symptom or sign information that is about a lesion on an axilla of a patient and specifies the extent of damage to the tissue.				VEuPathDB				
EUPATH:0000789	pinna lesion score	Class			Skin symptom or sign information that is about a lesion on a pinna of a patient and specifies the extent of damage to the tissue.				VEuPathDB				
EUPATH:0000792	lethal insecticide time 50	Class			A time measurement datum that is about the duration of exposure to an insecticide that results in the death of 50% of a population of insects.		Person: John Judkins	LT50	VBcv:0000732	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/77			
EUPATH:0000793	finding of death from COVID-19	Class			A clinical finding of a death that has been confirmed to be likely caused by COVID-19.			death confirmed likely from COVID	VEuPathDB				
EUPATH:0000794	treatment information	Class			An information content entity that is about a treatment.								
EUPATH:0000795	information on whether assay performed	Class			An information content entity identifying an assay and specifying whether it was performed.								
EUPATH:0000797	study cluster information	Class			An information content entity about the groups of participants that are randomized to receive an intervention in a trial.				VEuPathDB				
EUPATH:0000808	16S rRNA sequencing assay targeting V1-V2 region	Class			A 16S rRNA sequencing assay in which primers target the V1-V2 portion of the 16s gene.		"Person: John Judkins, Wojtek Bażant"		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/284	MicrobiomeDB		
EUPATH:0000809	16S rRNA sequencing assay targeting V1-V3 region	Class			16S rRNA sequencing assay in which primers target the V1-V3 portion of the 16s gene		"Person: John Judkins, Wojtek Bażant"		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/284	MicrobiomeDB		
EUPATH:0000810	16S rRNA sequencing assay targeting V2 region	Class			16S rRNA sequencing assay in which primers target the V2 portion of the 16s gene		"Person: John Judkins, Wojtek Bażant"		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/284	MicrobiomeDB		
EUPATH:0000811	16S rRNA sequencing assay targeting V3-V4 region	Class			16S rRNA sequencing assay in which primers target the V3-V4 portion of the 16s gene		"Person: John Judkins, Wojtek Bażant"		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/284	MicrobiomeDB		
EUPATH:0000812	16S rRNA sequencing assay targeting V3-V5 region	Class			16S rRNA sequencing assay in which primers target the V3-V5 portion of the 16s gene		"Person: John Judkins, Wojtek Bażant"		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/284	MicrobiomeDB		
EUPATH:0000813	16S rRNA sequencing assay targeting V4 region	Class			16S rRNA sequencing assay in which primers target the V4 portion of the 16s gene		"Person: John Judkins, Wojtek Bażant"		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/284	MicrobiomeDB		
EUPATH:0000815	eukaryote detection and abundance analysis using CORRAL software	Class	Ann Sizemore Blevins		A data transformation that uses data from a whole metagenome sequencing assay and CORRAL (for Clustering Of Related Reference ALignments) software to specify taxa of Eukaryota in a specimen.		John Judkins ORCID:0000-0001-6595-0902		https://www.biorxiv.org/content/10.1101/2022.03.09.483664v1				
EUPATH:0001001	data file	Annotation property			"The original file name for the data file the variable was found in, or a shortened version of the file name that contains all relevant information to identify the data file."			dataFile					
EUPATH:0001002	category	Annotation property			"The highest level parent term (Household, Participant, Observation, Specimen) the variable falls under."								
EUPATH:0001003	codebook description	Annotation property			The variable description from the data dictionary. Useful for assigning display labels. To be provided either directly from the data provider in their codebook or filled out by ClinEpi Outreach before handing over to Ontology.			codebookDescription					
EUPATH:0001004	codebook values	Annotation property			"All possible responses and their mapped terms for each variable, from the data dictionary. Useful for value mapping."			codebookValues					
EUPATH:0001005	term type	Annotation property			"An annotation that specifies how a term is used in generation search filters on a website. It has five options:

category: a term to organize the variables for exploration on the website

variable: a variable in the dataset

variable, derived: one term that is calculated, using the data in two or more other variables

multifilter: any value below it in the hierarchy will be displayed as a multifilter

value: the value of a multifilter"			termType					
EUPATH:0001006	replaces	Annotation property			Annotation property that records the ontology term IRI originally used in the study.		VEuPathDB team	replaces		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001008	unit label	Annotation property			Annotation property that specifies units that are associated with a variable (if any) in a human-readable format. Use abbreviations.		VEuPathDB team	unitLabel		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001009	unit IRI	Annotation property			"Annotation property that specifies the ontology term IRI of unit, generally from the unit ontology (UO)."		VEuPathDB team	unitIRI		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001010	dataSet	Annotation property			Annotation property that specifies which dataset a term belongs to.		VEuPathDB team	dataSet		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001011	repeated	Annotation property			Annotation property that indicates terms that were assessed longitudinally / repeatedly over time.		VEuPathDB team	repeated		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001012	is featured	Annotation property			Annotation property that specifies important terms to be highlighted.		VEuPathDB team	is_featured		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001013	hidden	Annotation property			Annotation property that indicates that the term is hidden from the UI and download files.		VEuPathDB team	hidden		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001014	scale	Annotation property			"Annotation property that identifies terms that are on the log scale or natural log scale, as opposed to on the linear scale."		VEuPathDB team	scale		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001015	is temporal	Annotation property			"Annotation property that specifies terms that are related to time, to be used in visualizations looking at data over time. Also to be used in subsetting tab histograms (to indicate that the data range should not include the origin)"		VEuPathDB team	is_temporal		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001016	merge key	Annotation property			Annotation property that specifies key terms with longitudinal/repeated measures in the studies.		VEuPathDB team	mergeKey		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001017	default display range min	Annotation property			Annotation property that specifies default minimum value for each term's range. Useful to ensure that histograms for related terms have the same x-axis range		VEuPathDB team	defaultDisplayRangeMin		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001018	default display range max	Annotation property			Annotation property that specifies the default maximum value for each term's range. Useful to ensure that histograms for related terms have the same x-axis range		VEuPathDB team	defaultDisplayRangeMax		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001019	default bin width	Annotation property			Annotation property that specifies the bin width for each term's histogram.		VEuPathDB team	defaultBinWidth		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0001020	force string type	Annotation property			Annotation property used to annotate numeric terms as strings. Numeric terms annotated as strings will ALWAYS be ordinal. Study specific.		VEuPathDB team	forceStringType		https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/185			
EUPATH:0004991	date of 60-day follow-up	Class			a time measurement datum specifying the date of a clinical visit scheduled for sixty days after a treatment			Date of observation	EuPathDB				
EUPATH:0005032	parasitized erythrocyte count to total erythrocyte count ratio	Class	Christian Stoeckert https://orcid.org/0000-0002-5714-991X|John Judkins https://orcid.org/0000-0001-6595-0902		"A parasitemia measurement in which the number of parasitized erythrocytes is divided by the number of all erythrocytes in a specified sample of blood, and the result presented as a ratio, fraction, quotient or percentage."		Jie Zheng https://orcid.org/0000-0002-2999-0103	percentage parasitemia	VEuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/416	VEuPathDB Genomics		
EUPATH:0009246	metagenome pathway and function analysis	Class			A data transformation of metagenome input sequence data involving mapping to genes with full Enzyme Commision (EC) number enzyme classifications and calculation of pathways.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009247	4th level EC metagenome abundance data	Class			A data item that is the output of a metagenome pathway and function analysis for the number of copies of genes annotated at the finest (4th level) EC classification.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009248	metagenome enzyme pathway abundance data	Class			A data item that is the output of a metagenome pathway and function analysis for the number of copies of a pathway defined by EC classifications.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009249	metagenome enzyme pathway coverage data	Class			A data item that is the output of a metagenome pathway and function analysis for gene coverage in a pathway defined by EC classifications.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009250	relative taxonomic abundance analysis	Class			A data transformation of input sequence data to obtain the fraction of relative abundance of organisms.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009251	relative abundance of kingdom data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of kingdom.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009252	relative abundance of phylum data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of phylum.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009253	relative abundance of class data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of class.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009254	relative abundance of order data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of order.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009255	relative abundance of family data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of family.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009256	relative abundance of genus data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of genus.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009257	relative abundance of species data	Class			A data item that is the output of a relative taxonomic abundance analysis for organisms grouped at the level of species.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009258	alpha diversity taxonomic analysis	Class			A data transformation of input sequence data to obtain a mean species diversity.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009259	Shannon-indexed alpha diversity data	Class			A data item that is the output of an alpha diversity taxonomic analysis based on the Shannon index of diversity.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009260	inverse Simpson-indexed alpha diversity data	Class			A data item that is the output of an alpha diversity taxonomic analysis based on the inverse Simpson index of diversity.		Person: John Judkins		MicrobiomeDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/208			
EUPATH:0009264	plant taxon detected by sequence match	Class			A taxon detected by sequence match that indicates whether a plant taxon was detected.		Person: John Judkins		MicrobiomeDB				
EUPATH:0009265	animal taxon detected by sequence match	Class			A taxon detected by sequence match that indicates whether an animal taxon was detected.		Person: John Judkins		MicrobiomeDB				
EUPATH:0009266	protist taxon detected by sequence match	Class			A taxon detected by sequence match that indicates whether a protist taxon was detected.		Person: John Judkins		MicrobiomeDB				
EUPATH:0009267	taxon detected by sequence match	Class			A data item that indicates whether a method applied to data coming from a sequencing assay of the sample has detected a taxon through identifying sequences associated with organisms of a particular taxonomic grouping.		Person: John Judkins		MicrobiomeDB				
EUPATH:0009268	fungal taxon detected by sequence match	Class			A taxon detected by sequence match that indicates whether a fungal taxon was detected.		Person: John Judkins		MicrobiomeDB				
EUPATH:0009269	normalized number of taxon-specific sequence matches	Class		12.34 CPM (copies per million reads)	A data item of the normalized number of sequences that match a specific taxon.		Person: John Judkins	taxon-specific sequence matches	MicrobiomeDB				
EUPATH:0009998	centimeter per year	measurement unit label		the growth of a child during three years after birth	A unit that represents a change in length of one centimeter in one year.		John Judkins ORCID:0000-0001-6595-0902	cm/year	VEuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/522			
EUPATH:0009999	kilogram per year	measurement unit label		the increase in mass of a child during three years after birth	A unit that represents a change in mass of one kilogram in one year.		John Judkins ORCID:0000-0001-6595-0902	kg/year	VEuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/523			
EUPATH:0010001	antibiotic administration preceding feces collection	Class			"A planned process in which a feces specimen is collected from an organism after the administration of an antibiotic to the organism, in order to determine effects of the antibiotic."								
EUPATH:0010002	information on case matching	Class			An information content entity that is about a subject pairing of two participants for a case-control study design		"Person: John Judkins, Chris Stoeckert"	Matched case	EuPathDB				
EUPATH:0010013	previous diarrheal treatment datum	Class			A clinical history that is about a treatment for diarrhea.		Person: John Judkins		VEuPathDB				
EUPATH:0010016	information on diarrheal episode	Class			an information content entity that is about a realization of diarrhea		John Judkins	Diarrheal episodes	EuPathDB				
EUPATH:0010024	rehydration treatment	Class			Treatment whose aim is to restore the normal hydration state of a living organism.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"	Rehydration therapy	EuPathDB|GEMS|Penn Group				
EUPATH:0010032	environment associated with human dwelling	Class			environmental system associated with the dwelling used by humans.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"		GEMS|Penn Group				
EUPATH:0010035	study participant administrative information	Class			study participant information that specifies details of the study design execution in which the human participant under investigation is participating		John Judkins	Administrative information	EuPathDB				
EUPATH:0010036	information on eligibility criterion	Class			An information content entity that mentions an eligiblity criterion		Person: John Judkins	Eligibility criteria	EuPathDB				
EUPATH:0010037	information on relation to participant	Class			an information content entity that is about a human being in the community of a human participant under investigation and identifies the relationship between them both		John Judkins	Individuals related to participant	EuPathDB				
EUPATH:0010038	fecal specimen quality data item	Class			A data item that is about a quality of a fecal specimen		Person: John Judkins	Stool characteristics	EuPathDB				
EUPATH:0010039	feces specimen collection process	Class			Specimen collection process aimed at collecting a feces specimen.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"		GEMS|Penn Group				
EUPATH:0010040	information specifying antibiotic administered before stool collection	Class			"an information content entity that specifies an antibiotic that is administered to a human participant under investigation, which precedes stool collection from the participant"		Person: John Judkins	Antibiotic administered before stool collection	EuPathDB				
EUPATH:0010049	case participant identifier	Class			A participant identifier that denotes the bearer of a case-control study case role.		John Judkins ORCID:0000-0001-6595-0902		VEuPathDB				
EUPATH:0010067	location of death	Class			Site where a human life process ended.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"	place of death	GEMS|Penn Group				
EUPATH:0010070	caregiver and participant combined mass measurement datum	Class			A mass measurement datum that is the result of measuring the combined mass of a human participant under investigation and a caregiver of that participant.	"""caretaker"" replaced with ""caregiver"""	Person: John Judkins	Weight of caretaker + child	EuPathDB				
EUPATH:0010071	caregiver of participant mass measurement datum	Class			A mass measurement datum that is the result of measuring the mass of a caregiver of a human participant under investigation.	"""caretaker"" replaced with ""caregiver"""	Person: John Judkins	Weight of caretaker alone	EuPathDB				
EUPATH:0010075	first height measurement datum	Class			A length measurement datum that is the result of the first in a series of assays measuring the height of the same material entity.		Person: John Judkins		VEuPathDB				
EUPATH:0010076	second height measurement datum	Class			A length measurement datum that is the result of the second in a series of assays measuring the height of the same material entity.		Person: John Judkins		VEuPathDB				
EUPATH:0010077	third height measurement datum	Class			A length measurement datum that is the result of the third in a series of assays measuring the height of the same material entity.		Person: John Judkins		VEuPathDB				
EUPATH:0010078	mean height	Class			an average value that is the specified output of a data transformation that has as input only length measurement data about height		John Judkins		EuPathDB				
EUPATH:0010079	median height	Class			A center value that is the specified output of a median calculation that has as input only length measurement data about height		Person: John Judkins		EuPathDB				
EUPATH:0010084	first mid-upper arm circumference datum	Class			"a length measurement datum that is the result of the first in a series of assays measuring the length around the same upper arm, such that the measurement is taken midway along the upper arm"		John Judkins	"MUAC, 1st"	The Mother and Child Health and Education Trust				
EUPATH:0010085	second mid-upper arm circumference datum	Class			"a length measurement datum that is the result of the second in a series of assays measuring the length around the same upper arm, such that the measurement is taken midway along the upper arm"		John Judkins	"MUAC, 2nd"	The Mother and Child Health and Education Trust				
EUPATH:0010086	third mid-upper arm circumference datum	Class			"A length measurement datum that is the result of the third in a series of assays measuring the length around the same upper arm, such that the measurement is taken midway along the upper arm"		Person: John Judkins	"MUAC, 3rd"	EuPathDB				
EUPATH:0010087	mean mid-upper arm circumference	Class			An average value of two or more mid-upper arm circumference data of the same human participant under investigation		"Person: John Judkins, Chris Stoeckert"	MUAC; mean	EuPathDB				
EUPATH:0010088	median mid-upper arm circumference	Class			A center value of one or more mid-upper arm circumference data of the same human participant under investigation		"Person: John Judkins, Chris Stoeckert"	MUAC; median	EuPathDB				
EUPATH:0010096	first respiratory rate measurement datum	Class			a rate measurement datum that is about a human participant under investigation and is the specified output of the first of a series of countings of instances of the participant's respiration		John Judkins	"Respiratory rate 1|Respiratory rate per minute, 1st"	EuPathDB				
EUPATH:0010097	second respiratory rate measurement datum	Class			a rate measurement datum that is about a human participant under investigation and is the specified output of the second of a series of countings of instances of the participant's respiration		John Judkins	"Respiratory rate 2|Respiratory rate per minute, 2nd"	EuPathDB				
EUPATH:0010098	average respiratory rate	Class			an average value that is the specified output of a data transformation that has two or more respiratory rates of the same human participant under investigation as specified input		John Judkins	"Respiratory rate, mean"	EuPathDB				
EUPATH:0010102	water container	Class			Container used by humans to drink water.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"		GEMS|Penn Group				
EUPATH:0010111	chlorine test result	Class			"Information Content entity that is a boolean-valued measurement datum, outcome of a chlorine testing assay that aims at testing a body of drinking water for a specified minimum concentration of Chlorine."		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"		GEMS|Penn Group				
EUPATH:0010112	location of hand washing	Class			Site where humans wash their hands.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"		GEMS|Penn Group				
EUPATH:0010153	indicator of whether participant receiving medication	Class			An information content entity that specifies whether a human participant under investigation is currently a medication-taking patient		" Jie Zheng|Chris Stoeckert |Person: John Judkins, Jie Zheng"	Currently receiving medication	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010215	date of defecation	Class			A time measurement datum of the date encompassing a defecation		Person: John Judkins	Date stool passed	EuPathDB				
EUPATH:0010217	stool consistency	Class			"a quality of water composition, shape, or structure that inheres in fecal material"		John Judkins		Wikipedia: Bristol stool scale				
EUPATH:0010219	date of first antibiotic administration	Class			A time measurement datum of the date of the first in a series of antibiotic administrations to a human participant under investigation		Person: John Judkins		EuPathDB				
EUPATH:0010220	time of first antibiotic administration to human participant under investigation	Class			A time measurement datum of the time of the first in a series of antibiotic administrations to a human participant under investigation		Person: John Judkins	Time of first antibiotic administration	EuPathDB				
EUPATH:0010238	duration of diarrheal episode	Class			A time measurement datum that is the result of measuring the duration of a diarrheal episode		"Person: John Judkins, Chris Stoeckert"		EuPathDB				
EUPATH:0010316	feces volume measurement datum	Class			A measurement datum that results from measuring the volume of feces excreted during an instance of defecation.		"Person: Cristian Cocos, Jie Zheng, Chris Stoeckert, John Judkins"	stool volume measurement datum	GEMS|Penn Group				
EUPATH:0010319	date of rehydration	Class			a time measurement datum of the date at which a dehydration treatment is administered		John Judkins|Person: John Judkins		EuPathDB				
EUPATH:0010320	time of rehydration	Class			a time measurement datum of the time of day at which a dehydration treatment is administered		John Judkins		EuPathDB				
EUPATH:0010346	duration of hospitalization	Class			A time measurement datum of the duration of a health care encounter occuring in a hospital facility.		Person: John Judkins		VEuPathDB				
EUPATH:0010356	symptom in last seven days information	Class			A symptom at enrollment information about a symptom that was experienced within seven days prior to the time of enrollment		Person: John Judkins	Symptoms in the last 7 days	EuPathDB				
EUPATH:0010357	symptom since illness began information	Class			A symptom or sign information that is about a symptom experienced after a disease course has started		Person: John Judkins	Symptoms since illness began	EuPathDB				
EUPATH:0010373	child study subject identifier at first enrollment	Class			Child study subject identifier received upon enrolling into a healthcare study for the first time.		"Person:  Cristian Cocos, Jie Zheng, Chris Stoeckert"		GEMS|Penn Group				
EUPATH:0010378	information on diarrhea treatment before clinical visit	Class			An information content entity that is about a treatment for diarrhea that precedes any treatment for diarrhea given to the same person during a clinical visit.		Person: John Judkins	Diarrhea treatment before visit	EuPathDB				
EUPATH:0010379	information on raising money for health care encounter	Class			an information content entity that specifies how the money was raised to cover the cost of a health care encounter		John Judkins	Money source for expenses before visit	EuPathDB				
EUPATH:0010380	information on where diarrheal treatment sought	Class			A previous diarrheal treatment datum that is about the person or place from which the treatment is sought		Person: John Judkins	Previously sought care	EuPathDB				
EUPATH:0010383	anthropometric value range specification	Class			A categorical value specification that specifies whether the value of an anthropometric information content entity lies outside a specified range		Person: John Judkins	Anthropometry flag	EuPathDB				
EUPATH:0010390	information on diarrhea treatment in health care facility	Class			An information content entity that is about a treatment for diarrhea that is administered in a health care facility		Person: John Judkins	Diarrhea treatment given in health center	EuPathDB				
EUPATH:0010391	information on diarrhea treatment by prescription	Class			An information content entity that is about a treatment provided by a health care prescription for a human participant under investigation for diarrhea		Person: John Judkins	Diarrhea treatment by prescription at home	EuPathDB				
EUPATH:0010405	information on sex of matched case	Class			Information on case matching that denotes the sex of the case subject		Person: John Judkins	"Sex, matched case"	EuPathDB				
EUPATH:0010406	date of birth of matched case	Class			The date of birth of a case subject in a case-control study		Person: John Judkins		EuPathDB				
EUPATH:0010411	eligibility criterion of diarrhea episode starting with past 7 days	Class			An eligibility criterion indicating an episode of diarrhea starting within the past seven days.		Person: John Judkins		VEuPathDB				
EUPATH:0010418	indicator of whether participant eligible for enrollment	Class			A categorical value specification that specifies whether a human participant under investigation meets requirements for human subject enrollment		Jie Zheng|Person: John Judkins	Eligibility for enrollment	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010494	presence of maximum fever temperature of at least 37.5 degrees	Class			a categorical measurement datum that is about a maximum fever temperature in Celsius and specifies whether its value is at least 37.5		John Judkins	"Fever at episode, temperature >37.5C"	EuPathDB				
EUPATH:0010579	indicator of whether Adenovirus ELISA performed	Class			a categorical value specification that specifies whether an enzyme linked immunosorbent assay was performed with the objective of determining whether a specimen contains Adenovirus		 Jie Zheng|Chris Stoeckert |John Judkins	Adenovirus ELISA performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010580	indicator of whether Astrovirus ELISA performed	Class			a categorical value specification that specifies whether an enzyme linked immunosorbent assay was performed with the objective of determining whether a specimen contains Astrovirus		 Jie Zheng|Chris Stoeckert |John Judkins	Astrovirus ELISA performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010581	indicator of whether Rotavirus ELISA performed	Class			a categorical value specification that specifies whether an enzyme linked immunosorbent assay was performed with the objective of determining whether a specimen contains Rotavirus		 Jie Zheng|Chris Stoeckert |John Judkins	Rotavirus ELISA performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010583	indicator of whether modified acid fast staining method performed	Class			a categorical value specification that specifies whether a modified acid fast staining method was performed		 Jie Zheng|Chris Stoeckert |John Judkins	modified acid fast staining method performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010587	number of feces assays	Class			A count of feces assays evaluating the same specimen.		Person: John Judkins		VEuPathDB				
EUPATH:0010588	indicator of whether Norovirus RT-PCR performed	Class			a categorical value specifiction that specifies whether a reverse transcription polymerase chain reaction assay was performed with the objective of determining whether a specimen contains Norovirus		 Jie Zheng|Chris Stoeckert |John Judkins	Norovirus RT-PCR performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010590	indicator of whether Cryptosporidium ELISA performed	Class			a categorical value specification that specifies whether an enzyme linked immunosorbent assay was performed with the objective of determining whether a specimen contains Cryptosporidium		 Jie Zheng|Chris Stoeckert |John Judkins	Cryptosporidium ELISA performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010591	indicator of whether Entamoeba histolytica ELISA performed	Class			a categorical value specification that specifies whether an enzyme linked immunosorbent assay was performed with the objective of determining whether a specimen contains Entamoeba histolytica		 Jie Zheng|Chris Stoeckert |John Judkins	Entamoeba histolytica ELISA performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010592	indicator of whether Giardia ELISA performed	Class			a categorical value specification that specifies whether an enzyme linked immunosorbent assay was performed with the objective of determining whether a specimen contains Giardia		 Jie Zheng|Chris Stoeckert |John Judkins	Giardia ELISA performed	EuPathDB	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology/issues/142			
EUPATH:0010897	number of bacteria species in feces specimen	Class			A count of species of bacteria in a feces specimen.		Person: John Judkins		VEuPathDB				
EUPATH:0010901	number of parasite organism species in feces specimen	Class			A count of species of parasite organisms in a feces specimen.		Person: John Judkins		VEuPathDB				
